acacia_leaves; [nether_wart_block>1],
acacia_sapling; [crimson_fungus>1],
acacia_log; [crimson_stem>1],
allium; [air>1],
andesite; [infernalexp:basalt_cobbled>1],
ars_nouveau:arcane_ore; [nether_quartz_ore>1],
azure_bluet; [air>1],
birch_leaves; [warped_wart_block>1],
birch_sapling; [warped_fungus>1],
birch_log; [warped_stem>1],
black_terracotta; [glowstone>1],
blue_orchid; [air>1],
blue_terracotta; [glowstone>1],
brain_coral_block; [dead_brain_coral_block>1],
brain_coral_fan; [air>1],
brain_coral; [air>1],
brown_terracotta; [glowstone>1],
bubble_coral_block; [dead_bubble_coral_block>1],
bubble_coral_fan; [air>1],
bubble_coral; [air>1],
cactus; [infernalexp:dullthorns>1],
clay; [netherrack>99 + nether_gold_ore>1],
coal_ore; [nether_quartz_ore>1],
coarse_dirt; [netherrack>99 + nether_gold_ore>1],
cobblestone; [bygonenether:cobbled_blackstone>1],
cornflower; [air>1],
cyan_terracotta; [glowstone>1],
dandelion; [air>1],
dark_oak_leaves; [warped_wart_block>1],
dark_oak_sapling; [warped_fungus>1],
dark_oak_log; [warped_stem>1],
dead_bush; [projectvibrantjourneys:crimson_nettle>1],
diamond_ore; [endrem:end_crystal_ore>1],
diorite; [infernalexp:basalt_cobbled>1],
dirt; [netherrack>99 + nether_gold_ore>1],
emerald_ore; [endrem:end_crystal_ore>1],
extcaves:cave_vine; [weeping_vines>1],
extcaves:dirtstone; [soul_soil>1],
extcaves:lavastone; [infernalexp:basaltic_magma>1],
extcaves:marlstone; [infernalexp:silt>1],
extcaves:moss_hanging_roots; [weeping_vines>1],
extcaves:moss_humid_ceiling; [air>1],
extcaves:moss_humid_ground; [air>1],
extcaves:mushroom_fluoshroom; [infernalexp:luminous_fungus>1],
extcaves:mushroom_goldishroom; [infernalexp:luminous_fungus>1],
extcaves:mushroom_lumishroom; [infernalexp:luminous_fungus>1],
extcaves:mushroom_rockshroom; [infernalexp:luminous_fungus>1],
extcaves:mushroom_shinyshroom; [infernalexp:luminous_fungus>1],
extcaves:mushroom_sweetshroom; [infernalexp:luminous_fungus>1],
extcaves:rock_pebble_andesite; [air>1],
extcaves:rock_pebble_diorite; [air>1],
extcaves:rock_pebble_granite; [air>1],
extcaves:rock_pebble_lavastone; [air>1],
extcaves:rock_pebble_sedimentstone; [air>1],
extcaves:rock_pebble_stone; [air>1],
extcaves:rock_stalactite_andesite; [air>1],
extcaves:rock_stalactite_diorite; [air>1],
extcaves:rock_stalactite_granite; [air>1],
extcaves:rock_stalactite_lavastone; [air>1],
extcaves:rock_stalactite_sedimentstone; [air>1],
extcaves:rock_stalactite_stone; [air>1],
extcaves:rock_stalactite_tall_andesite; [air>1],
extcaves:rock_stalactite_tall_diorite; [air>1],
extcaves:rock_stalactite_tall_granite; [air>1],
extcaves:rock_stalactite_tall_lavastone; [air>1],
extcaves:rock_stalactite_tall_sedimentstone; [air>1],
extcaves:rock_stalactite_tall_stone; [air>1],
extcaves:rock_stalactite_tall_stone; [air>1],
extcaves:rock_stalagmite_andesite; [air>1],
extcaves:rock_stalagmite_diorite; [air>1],
extcaves:rock_stalagmite_granite; [air>1],
extcaves:rock_stalagmite_lavastone; [air>1],
extcaves:rock_stalagmite_sedimentstone; [air>1],
extcaves:rock_stalagmite_stone; [air>1],
extcaves:rock_stalagmite_tall_andesite; [air>1],
extcaves:rock_stalagmite_tall_diorite; [air>1],
extcaves:rock_stalagmite_tall_granite; [air>1],
extcaves:rock_stalagmite_tall_lavastone; [air>1],
extcaves:rock_stalagmite_tall_sedimentstone; [air>1],
extcaves:rockpile_three_andesite; [air>1],
extcaves:rockpile_three_diorite; [air>1],
extcaves:rockpile_three_granite; [air>1],
extcaves:rockpile_three_lavastone; [air>1],
extcaves:rockpile_three_sedimentstone; [air>1],
extcaves:rockpile_three_stone; [air>1],
extcaves:rockpile_two_andesite; [air>1],
extcaves:rockpile_two_diorite; [air>1],
extcaves:rockpile_two_granite; [air>1],
extcaves:rockpile_two_lavastone; [air>1],
extcaves:rockpile_two_sedimentstone; [air>1],
extcaves:rockpile_two_stone; [air>1],
extcaves:sedimentstone; [infernalexp:basalt_cobbled>1],
farmland; [netherrack>99 + nether_gold_ore>1>1],
fern; [warped_roots>1],
fire_coral_block; [dead_fire_coral_block>1],
fire_coral_fan; [air>1],
fire_coral; [air>1],
gold_ore; [gilded_blackstone>1],
granite; [infernalexp:basalt_cobbled>1],
grass_block; [crimson_nylium>1],
grass_path; [infernalexp:crimson_nylium_path>1],
grass; [crimson_roots>1],
gray_terracotta; [glowstone>1],
green_terracotta; [glowstone>1],
horn_coral_block; [dead_horn_coral_block>1],
horn_coral_fan; [air>1],
horn_coral; [air>1],
iceandfire:amythest_ore; [endrem:end_crystal_ore>1],
iceandfire:copper_ore; [infernalexp:basalt_iron_ore>1],
iceandfire:fire_lily; [air>1],
iceandfire:frost_lily; [air>1],
iceandfire:lightning_lily; [air>1],
iceandfire:sapphire_ore; [endrem:end_crystal_ore>1],
iceandfire:silver_ore; [gilded_blackstone>1],
iron_ore; [infernalexp:basalt_iron_ore>1],
jungle_leaves; [warped_wart_block>1],
jungle_sapling; [warped_fungus>1],
jungle_log; [warped_stem>1],
kelp_plant; [air>1],
lapis_ore; [nether_quartz_ore>1],
large_fern; [warped_roots>1],
light_blue_terracotta; [glowstone>1],
light_gray_terracotta; [glowstone>1],
lilac; [air>1],
lily_of_the_valley; [air>1],
lily_pad; [air>1],
lime_terracotta; [glowstone>1],
magenta_terracotta; [glowstone>1],
melon; [shroomlight>1],
mossy_cobblestone; [bygonenether:cobbled_blackstone>1],
oak_leaves; [nether_wart_block>1],
oak_sapling; [crimson_fungus>1],
oak_log; [crimson_stem>1],
orange_terracotta; [glowstone>1],
oxeye_daisy; [air>1],
peony; [air>1],
pink_terracotta; [glowstone>1],
pink_tulip; [air>1],
podzol; [warped_nylium>1],
poppy; [air>1],
projectvibrantjourneys:aspen_fallen_leaves; [infernalexp:warped_nylium_carpet>1],
projectvibrantjourneys:aspen_leaves; [warped_wart_block>1],
projectvibrantjourneys:aspen_log; [warped_stem>1],
projectvibrantjourneys:aspen_sapling; [warped_fungus>1],
projectvibrantjourneys:baobab_leaves; [nether_wart_block>1],
projectvibrantjourneys:baobab_log; [crimson_stem>1],
projectvibrantjourneys:baobab_sapling; [crimson_fungus>1],
projectvibrantjourneys:beach_grass; [nether_sprouts>1],
projectvibrantjourneys:berried_juniper_leaves; [nether_wart_block>1],
projectvibrantjourneys:blooming_desert_agave; [projectvibrantjourneys:warped_nettle>1],
projectvibrantjourneys:bones; [projectvibrantjourneys:charred_bones>1],
projectvibrantjourneys:cattail; [twisting_vines>1],
projectvibrantjourneys:cottonwood_leaves; [nether_wart_block>1],
projectvibrantjourneys:cottonwood_log; [crimson_stem>1],
projectvibrantjourneys:cottonwood_sapling; [crimson_fungus>1],
projectvibrantjourneys:desert_agave; [projectvibrantjourneys:warped_nettle>1],
projectvibrantjourneys:desert_sage; [projectvibrantjourneys:crimson_nettle>1],
projectvibrantjourneys:dry_grass; [nether_sprouts>1],
projectvibrantjourneys:fallen_leaves; [infernalexp:crimson_nylium_carpet>1],
projectvibrantjourneys:fir_leaves; [nether_wart_block>1],
projectvibrantjourneys:fir_log; [crimson_stem>1],
projectvibrantjourneys:fir_sapling; [crimson_fungus>1],
projectvibrantjourneys:joshua_leaves; [nether_wart_block>1],
projectvibrantjourneys:joshua_log; [crimson_stem>1],
projectvibrantjourneys:joshua_sapling; [crimson_fungus>1],
projectvibrantjourneys:juniper_leaves; [nether_wart_block>1],
projectvibrantjourneys:juniper_log; [crimson_stem>1],
projectvibrantjourneys:juniper_sapling; [crimson_fungus>1],
projectvibrantjourneys:mangrove_leaves; [warped_wart_block>1],
projectvibrantjourneys:mangrove_log; [warped_stem>1],
projectvibrantjourneys:mangrove_sapling; [warped_fungus>1],
projectvibrantjourneys:maple_log; [warped_stem>1],
projectvibrantjourneys:mossy_rocks; [air>1],
projectvibrantjourneys:orange_maple_fallen_leaves; [infernalexp:warped_nylium_carpet>1],
projectvibrantjourneys:orange_maple_leaves; [warped_wart_block>1],
projectvibrantjourneys:orange_maple_sapling; [warped_fungus>1],
projectvibrantjourneys:palm_leaves; [nether_wart_block>1],
projectvibrantjourneys:palm_log; [crimson_stem>1],
projectvibrantjourneys:palm_sapling; [crimson_fungus>1],
projectvibrantjourneys:pine_leaves; [nether_wart_block>1],
projectvibrantjourneys:pine_log; [crimson_stem>1],
projectvibrantjourneys:pine_sapling; [crimson_fungus>1],
projectvibrantjourneys:pinecones; [air>1],
projectvibrantjourneys:pink_sakura_fallen_leaves; [infernalexp:crimson_nylium_carpet>1],
projectvibrantjourneys:pink_sakura_leaves; [nether_wart_block>1],
